title,poem,tags,is_love_poem,decade
Sjakk matt,"Den hvite kongen med vaktsomt blikk

Ser sine styrker slite

Et tårn i bytte mot løper de fikk

Et dårlig bytte må vite

Dronningen angriper, roper ut ""sjakk""

Den sorte kongen må le

Hastverk er lastverk og dronningen knakk

Hun glemte å farene se

hestene angriper, løperen frem

Den hvite kongen må rygge

Snart vil svart konge innta hans hjem

Tapstallene vil bli stygge

Bøndene faller, hans beste menn

Snart er hans tropper felt

Den hvite kongen har tapt mot sin ""venn""

Han hører ""sjakk matt"" bli meldt...","Brettspill, Spill, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet",0,2000
Maanenat,"Nys strøk et syn forbi mig

av kvindeynde, skjønhet,

og dypt i natten sitter

jeg av dets hvithet blendet.

Hvi kan min arm ei række

alt det, som løndig daarer,

og hvorfor bøier sindet

sig nu i smertens fylde?



Som bka et slør av længsler

og unge sværmerier

stod hun i drøm og smilte

mot noget fjernt, jeg aner.

Men dette drømmeslørte,

hvori hun smiler, sørger,

saa taust et vidne er det,

at end hun aldrig vovet.



Jeg har ei rim at slynge

om hendes væsens ynde,

kun sorg, kun ensom smerte

og bange længsler har jeg.



Og ind i maanenatten,

den majestætisk kolde,

jeg som en skygge vandrer

i hendes billeds følge.



I blanke maanestraller,

som rummets dybder loddet,

forklar mig livets mening

og hvorfor jeg selv lever!

Av noget hvitt ombølget

med skjære sanser gaar jeg

saa glad, saa rik ved hende

og fattig dog til døden.



Den store, runde maane,

ei længer kan jeg se den . . .

Blot lyset, som den kaster,

og skyggerne, som skifter.

Og slukt er hendes aasyn

og bortgjemt hendes øine . . .

D e t  føler jeg, at natten

er hellig, overjordisk!","Nils Collett Vogt, Dikt skrevet på 1800-tallet, Forelskelse, Et liv i dikt, Livet, Alle dikt alfabetisk",0,1800
Tytebæret,"Tytebæret uppaa tuva

voks utav ei liti von.

Skogen med si grøne huva

fostrar mang ein raudleitt son.



Ein gong seint um hausten lagde

liten svein til bær-skogs ut;

""Raudt eg lyser,"" bæret sagde,

""kom aat meg, du vesle-gut.



Her ifraa du maa meg taka:

moge bær er utan ro.

Mal meg sundt, at du kan smaka

svaledrykken av mitt blod!



Mognar du, so vil du beda

just den same bøn som eg.

Mogen mann det mest maa gleda,

burt for folk aa gjeva seg.""","Bær, Alle dikt alfabetisk, Utvalgte dikt til skolebruk ved Wilh. Klem, Aasmund Olavsson Vinje, Dikt skrevet på 1800-tallet",0,1800
Sverre,"Det var Konung Sverre,

den Mannen so raust,

  at Noreg saag ingen hans Like,

det segjest, han var

burti Bjørgvin ein Haust

  paa vardande Vakt fyr sitt Rike.

Og der kom daa Tysken

med Øl og med Vin.

So kaupte dei Nordmenn

seg fulle som Svin.

  Og sume dei huja,

  og sume dei raut,

  og sume dei bardest,

  so Blodbylgja flaut.



Og Sverre baud Andvake

ljoma til Thing.

  Og Aalmogen sanka seg saman.

Og Sverre stod upp,

og han saag seg ikring,

  og Augo, dei spaadde kje Gaman.

Han seint tok til Orde,

og tala som so:

„Til Noreg gjeng beinaste

Veg yver Sjo;



  den Leidi det er,

  som ber snøggaste fram

  fyr Noreg si Heppa

  og Noreg si Skam.



Eg tenkte, eg no

fraa det Fimreite-Slag

  var Konung i Noreg aaleina.

Men naar eg no ser,

kva som hender idag,

  eg veit inkje kva eg skal meina

For um eg er Norrøna-

Konungen, eg,

her er fulla den,

som vil raada med meg.

  Og det er nok ein,

  som er sleipare Kar,

  en Erling hin skakke

  og Magnus det var.



Men no fær det røynast,

paa standande Bein,

  um enn eg i Noreg er Herre.

Og det skal de hugsa dykk

alle som ein,

  at detta er Ordi hans Sverre:



Velkomen er kvar,

som kjem her med Korn

til Mette fyr Mann

og fyr Kona og Born.

  Men dei, som vil tyna

  vaar Vælferd og Fred,

  lyt strjuka av Land,

  — ell so høgg eg dei ned.“



Og dermed kan henda,

at Tysken var glad,

  han treiv sina Tunnor i Loggi

og trilla paa Skuta

og siglde avstad

  og berga seg sjølv og so Doggi.

— Og Sverre, han hadde

eit Auga so gløgt,

at var der ei Veila,

so saag han det snøgt.

  Og Sverre, han stod inkje

  berre og saag:

  han brukte aa bøta,

  der Mein-Veila laag.



Men Sverre er burte,

— so no vert det best

  fyr Noreg som Folk og som Rike



at Nordmannen sjølv

vert sit Lands „Sverre Prest“

  og Konung i Heilhug tillike.

So signar han deim,

som aukar hans Korn

til Mette fyr Mann

og fyr Kona og Born.

  Men det, som vil tyna

  hans Vælferd og Fred,

  lyt strjuka sin Veg,

  ell so høgg han det ned.","Konger, Per Sivle, En Fyrstikke, Alle dikt alfabetisk, Dikt skrevet på 1800-tallet",0,1800
Uunngåelig skjebne,"Livet står stille 

øyeblikket fryses

glimte fra fortiden 

brennes i minne



Ting som angres 

problemer forsvinner

fordufter fra tankene 

forlater ei sinnet



Lukten av tilgivelse

forringes med tid 

ønsker om håpet 

drepes  strid



Forhåpelse og Frykt 

ligger dypt

en dag blir tausheten 

slutt","Ksk, Dikt skrevet på 2000-tallet, Livet, Alle dikt alfabetisk",0,2000
Majnat.,"Det er nat så vide over vei og vang,

det er stilt i veiret; men dog er det klang

som fra månestrålers fineste strenge.

Hvor underligt at sidde så ene og forladt....

Gad vidst, om det ei er slig majlys en nat

alverne danser over enge?



Det er nat så vide over vei og vang.

Jeg hører der bæve gjennem luften en sang,

men tonerne kan jeg ikke finde.

Det er drømme, som kommer, og drømme, som går,

drømme fra ivinter og drømme fra ivår

og vemod, som vugger mig isinde.



Og vemod, som vugger sig så vide over land,

vemod indtil verdens den yderste rand,

og længsler, som flokkes og trænges.

Det hulker i skoge, og det græder i krat...

Å gud, hvor det er tungt slig majlys en nat

at sidde her så ensom og længes!","Mai, Natt, Digte (Vilhelm Krag), Vilhelm Krag, Dikt skrevet på 1800-tallet, Alle dikt alfabetisk",0,1800
Våren (Riegrot),"VÅREN.



                   SOLEN FÅR MAKT OG STÅR TIDLIG OPP,

                   JEG KJENNER DEN ALLEREDE VARMER MIN KROPP.



                   OVER ALT SER JEG SNØEN RENNER BORT,

                   JEG TROR VÅREN I ÅR KOMMER FORT.



                   SNART ER ALL SNØ PÅ LI OG FJELL BORTE,

                   OG VI KAN SITTE UTE UTEN SKJORTE.



                   MED EN GANG SOLEN HADDE FJERNET DEN HVITE FRAKK,

                   BLOMSTENE SINE HODER OPP AV JORDEN STAKK.



                   SMÅFUGLEN SYNES OGSÅ DAGEN HAR BLITT LANG,

                   DET HØRES PÅ DERES GLADE OG FORSTERKEDE SANG.



                   TAKKNEMLIG JEG IGJEN OPPLEVER EN VÅR,

                   OG SNART SPIRER DET SOM VI SÅR.","Riegrot, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet, Vår",0,2000
Mitt hjerte,"Mitt hjerte vil aldri stoppe å slå

ikke før min tid har kommet for å gå

Men frem til da vil det slå for deg, 

om virkelig hvor mye jeg hatet deg



Min kropp følger hjerte ditt

Og går med raske skritt

Det var du som ødla det

at jeg aldri kunne lakt en drømm i det



I mitt hjerte står ditt navn

risset inn som et kalle navn

Jeg vil viske det ut

Men det går ikke ann

for det handler om noe som er sann



Sekundene stopper opp

Men det er du som har lakt det opp

smerten spres seg gjenom hele hjerte

og det var du som herjet den jævlige","ML, Kjærlighet, Dikt skrevet på 2000-tallet, Alle dikt alfabetisk",1,2000
Til min ven revolutions-taleren,"De siger, jeg er bleven ""konservativ"".

Jeg er, hvad jeg var mit hele liv.



Jeg går ikke med på at flytte brikker.

Slå spillet overende; da har De mig sikker.



En eneste revolution jeg husker,

som ikke blev gjort af en halvheds-fusker.



Den bær for alle de senere glorien.

Jeg mener naturligvis syndflods-historien.



Dog selve den gang blev Lucifer luret;

thi Noah tog, som De véd, diktaturet.



Lad os gøre det om igen, radikalere;

men dertil kræves både mænd og talere.



I sørger for vandflom til verdensmarken.

Jeg lægger med lyst torpédo under Arken.","Henrik Ibsen, Lucifer, Digte (Henrik Ibsen), Dikt skrevet på 1800-tallet, Politikk, Revolusjon, Alle dikt alfabetisk",0,1800
Fem mil,"Jeg setter meg foran Pc-en og alt blir flyktig. 

Skulle gjerne sett noe mer 

håndfast vokse frem. 

Men alt  som kommer er disse prikkene, pixlene, 

forsvinnende ordene. 

Med fem tastetrykk er de der

med ett er de vekk. 

Denne historien burde derfor vært lengre. 

Strukket over mil. 

Fordi de tar kort tid. 

Å skape virkeligheten

som den er 

utenom et papir.","Alle dikt alfabetisk, Dikt skrevet på 2000-tallet, Datamaskiner",0,2000
Ved en hustrus død.,"Hun kænte dødens øje fra fordum og fra nys,

da hennes første-fødte fik hennes siste kys,

og da hun måtte fare til moderns døds-sæng bort,

det fulgte hele vejen så varsels-dybt og stort;

det ante henne dengang, da hun ved båren stod,

nu sankes flere sammen, nu bæver livets rod.

Og straks at hennes husbond, den stærke mand, sank om,

hun sagde det med smærte: Jeg vidste, at det kom!

Hun tænkte, det var ham, som af Gud var kåret ud,

og stemte sine hænder imod det barske bud

og vilde med sit legem, så svagt som sjøens siv,

sin stolte kæmpe værge - og gav så hen sit liv.



       Hun smilte så lyksalig, da dødens bud blev meldt,

ti offeret var givet og frælst var hendes helt.

Vor kærlighed, beundring slog som et stjærnetelt

af lykke over henne i hennes siste stund,

og snehvid bort hun svæved i evighedens rund.

Slig kærlighed kan bære til himlens grænser med

de sjæle, som den favner i offer-salighed.","Bjørnstjerne Bjørnson, Digte og sange 1880, Alle dikt alfabetisk, Dikt skrevet på 1800-tallet, Døden",0,1800
Jolenott,"Stjerna stod ljos yver Bethlehems stad,

der barnet i krubba laag,

hyrdingen fæltest - men undren og glad

englar i skyi han saag:

Æra vera Gud i det høgaste!



Lydde til bodet fraa himmelkor

den heilage jolenott,

fager var songen: Fred paa jord,

helsing fraa Herren Drott . . .

Æra vera Gud i det høgaste!



Eldgamle soga - alltid ny

aa, slaa i kvart menneskje ned,

eingong yv' hjartløysa dagen vil gry,

dagen med rettferd og fred . . .

Æra vera Gud i det høgaste!","Heimlege tonar, Hans Reynolds, Dikt skrevet på 1900-tallet, Alle dikt alfabetisk, Jul",0,1900
Når det bliver vår igjen,"er syder saft bag birkens bark,

det dufter sødt fra kløvermark.

Hver fugl en liden vise har,

den synger, -- tier --, ber om svar;--

en sælsom glans om jorden går --

        å, unge vår!



Og selv det gamle lønnetræ,

som jeg kan fra mit vindu se:

Et slør af blade bittesmå,

de vrimler frem af barken grå,

og dækker stammen ru og hård: --

        å, unge vår!



Alt er så skjønt som én gang før:

fra lønneløvets lette slør

til forårshimlens dybblå flod.

Og selv mit gamle hjerteblod,

min Gud! det bruser og det slår:

        å, unge vår!



Hvad kommer al din pragt mig ved?

jeg havde fundet kvældens fred --

O, hvorfor gjør du så idag

min gamle sjæl så ungddomssvag,

så mindesyg, så hjertesår,

        å, unge vår!","Vår, Vestlandsviser, Vilhelm Krag, Dikt skrevet på 1800-tallet, Alle dikt alfabetisk",0,1800
Fuglene,"Ørnen er fuglekonge, den har et farlig ry.

Blod smaker best dens tunge, den svever over sky.

Så synger snille Henrik fra Eidsvoll Prestegård,

Og lærer oss om fuglene i fine skogen vår.



Og papegøyen sladrer om alt - ditt og datt.

I dammen snadrer anden, den vraker ingen mat.

Den svarte kråka stjeler i furen spilte ert,

men vanskelig man teller de mark den har fortært.



I luften synger lerka, bokfinken i et tre.

På vannet gynger svanen sin barm så hvit som snø.

Så synger snille Henrik fra Eidsvoll Prestegård,

og lærer oss om villfugl og fugl i parken vår.



Og hanen vekker lathans, med røst som en trompet,

og mor si høne klekker et egg, hver morgen ett.

Hvor mange snes forresten er ikke lettvint sagt.

En kunne nesten si det slik at penger den har lagt.



På taket hermer stæren, den hermer hva den vil.

Sin hytte bygger skjæren av pinner i en pil.

Men skogens syngemester er taletrosten nok.

Han i det lille hodet sitt har jo en notebok.



De synger alle fugler, men hver på eget vis.

Selv gamle kirkeugle vil synge Herrens pris.

Så synger snille Henrik fra Eidsvoll Prestegård

og lærer oss om fuglene i fine skogen vår.","Dikt skrevet på 1800-tallet, Henrik Wergeland, Alle dikt alfabetisk, Fugler",0,1800
Agnes,"Agnes, min dejlige sommerfugl,

dig vil jeg legende fange!

Jeg fletter et garn med masker små,

og maskerne er mine sange!



       ""Er jeg en sommerfugl, liden og skær,

       så lad mig af lyngtoppen drikke;

       og er du en gut, som lyster en leg,

       så jag mig, men fang mig ikke!""



Agnes, min dejlige sommerfugl,

nu har jeg maskerne flettet;

dig hjælper visst aldrig din flagrende flugt, --

snart sidder du fangen i nettet!



       ""Er jeg en sommerfugl, ung og blank,

       jeg lystig i legen mig svinger;

       men fanger du mig under nettets spind,

       så rør ikke ved mine vinger!""","Digte (Henrik Ibsen), Henrik Ibsen, Dikt skrevet på 1800-tallet, Alle dikt alfabetisk, Kjærlighet",1,1800
Guldkorn 0022,"Træet stod færdigt med blad og med knop

      ""Skal jeg ta' dem?"" sa' frosten og pustede op.

       ""Nei, kjære, lad dem staa,

        til blomster sidder paa!"" --

  Bad træet og skjalv ifra rod og til top.



  Træet fik blomster, saa fuglene sang.

  ""Skal jeg ta' dem?"" sa' vinden og vifted' og svang.

           ""Nei, kjære, lad dem staa, 

            til bæret sidder paa!""

   

  bad træet, i vinden det dirrende hang.



  Og træet fik bær under soløjets glød.

  ""Skal jeg ta' dem?"" sa' jenten saa ung og saa rød.

          ""Ja, kjære, du kan ta', 

          saamange du vil ha'""

  sa' træet, og grenen det bugnende bød.","Guldkorn, Dikt skrevet på 1800-tallet, Bjørnstjerne Bjørnson",0,1800
Hav,"u mørke, underlige hav!

Jeg ved ei, hvad det kommer af:

dit dybe øie drager mig --

jeg grunder, men forstaar dig ei,

-- men stundom jeg fornemmer,

som var jeg ét med dig.

Dit smil,, dit dumpe raseri,

som der er ingen lise i,

og dine sære stemmer,

som ingen kan forstaa --

--for ingen, ingen vide maa,

hvad du paa bunden gjemmer.



Ja, stundom jeg fornemmer,

som var jeg ét med dig.



       Men nu er der helg over havet!

       Lysdis saalnagt en kan øine --

       slig underfuld Paradis-stilhed --

       Og himmelrummet deroppe,

       det havblanke dyb dernede,

       alt svæver i endeløs sol.



       Men i dette sol-nirwana

       vugger snehvid og hellig

       en eneste, skinnende svane.","Nye Digte (Vilhelm Krag), Vilhelm Krag, Dikt skrevet på 1800-tallet, Alle dikt alfabetisk, Havet",0,1800
Høg Gjest,"Fram rid Beingrind paa blakke Hest;

svart er hans Kaape sid;

Sigden ved Sida han vel hev fest,

vil no raste ei Rid.

Nikkar til Fanden med Breidflir blid



    gjennom Natti.





«Høh, høh,» haast han kremtar,

«kvatan Kveld i Lage!

Her eg helst vil vera;

gjæve! gjev meg Sæte.»



Fanden av Stol seg lyfter,

tek seg aat Panne-Reimi:

«Herre Bror min, velkomin til!

Sìt millom oss som heime.

Rettno byrjar me Dansen vill



    gjennom Natti!





«Høh høh,» hostar Dauden;

«all Tid eg deg elska.

Trøytt eg Træl maa fara

Verdi vid igjenom.



harm min Herre tena,

Róm aat Live rydja.

Aldri Løn eg aatte;

faafengt maa eg fikte;

alt eg av kann øyde,

verre veks det sidan.

Her min rette Herre

kjær eg atter kjenner;

her kann heil i Hugen

Daude- Dans eg treda.»



«Meir enn gjerne,» kved Fanden i,

«unner eg deg ein Leik;

tidt og ofte paa Ferdi di

Livsens Magtir du sveik;

sende meg snøgg so mang ei god Steik



    gjenom Natti.





Kvar Gong du høgg den unge Kvist,

kann eg min Bate finne;

saman med deg, det vonar eg visst,

skal eg vel ein Gong vinne.

No skal me danse forutan Tvist



    gjenom Natti!»","Natt, Haugtussa, Arne Garborg, Dikt skrevet på 1800-tallet, Alle dikt alfabetisk",0,1800
Din skog,"din skog

min skog

en fin skog","Natur, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet",0,2000
Til Oslo,"I solveir ned av den blanke fjord.

Trodsig videt mit sind ut sig ut.

Fjorden videt sig ogsaa ut.

Bredere, bredere blev dens spor.



Jeg hilste det første syn av hav.

Farvel, du min barndoms umidle by!

Du blev ikke denen gang min grav.

Nu lægger jeg ut paany.



Ødselt liv i de fremmede land.

Hvor mins jeg det alt, som det var igaar!

Opgangstider i solens brand,

mot hvilke aandens dønninger slaar . . .

Saa kanske hændte der noe en dag.

Der faldt et par skjælvende korn av sne.

Jeg husker et land med strengere drag.

Hvemve det er dog saa søt en ve.



En morgen op av den stille fjord.

Jeg speidet i angst mot min ungdoms by.

Trangere, trangere fjordens spor.

Inderst derinde en røksvart sky.

Og se! midt i skyen, som frosset fast

i sine tungt-ulmende farvers glød

med skulende ildblik, som slet ikke brast,

stod solen mæt og vinter-rød.



Jeg kommer med bud fra det store hav:

Løft dig, min by, av vor skjønhetstrang!

Saa ødslig herhjemme som i en grav.

Veien til verden saa dryg og land.

O, løft dig, min by, av vor skjønhetsdrøm

mot flammende hjerter i taares ly,

saa engang de hvisker: Vor egen by!

Du, vor  by, som gjør stolt og øm!","Oslo, Byer, Et liv i dikt, Nils Collett Vogt, Alle dikt alfabetisk, Dikt skrevet på 1900-tallet",0,1900
"Vaaren kommer, Alt er Glæde","Vaaren kommer, Alt er Glæde,

Vintrens Nød er gjemt;

O, men Harpen i mit Indre

Klinger dog vemodig stemt.



Tryller Dig Naturens Blomstren,

Saftfuld, farverig?

Ak, det er et luftigt Teppe

Over Millioner Lig?



Kan Du glemme, hvad Du tabte,

Over denne unge Pragt?

Husk, med hver af dine Roser

Er en Orm af Søvne vakt.



Se, af Dagens Gløden stiger

Aftnens drømmerige Luft,

Blomstens hemmelige Vemod

Løser sig i Dug og Duft.



Lad det Svundnes dunkle Skygger

Blandes med din Foraars-Lyst,

Og bevar det hele Billed

I dit minderige Bryst.



Da skal intet Haab Dig skuffe,

Ingen Vinter skrække Dig;

Da er Vaaren i dit Indre

Fager og uvisnelig.","Vår, Foraarsdigte, Digte (Welhaven), Johan Sebastian Welhaven, Dikt skrevet på 1800-tallet, Alle dikt alfabetisk",0,1800
Morgen ved Neapelgolfen,"Nu sløres stjernerne paa himlens buer,

nu dæmrer dagen

og aander som en drøm om lys paa luften.

Alt er saa lydt, saa hoitidsstemt og stille

og dog som om den bleke morgen vilde

paa første ildord bruse over verden . . .

En sværm av bittesmaa lyd, som vækkes,

et dryss av sol, en fugl, som søtt forskrækkes

og stemmer op i glansen av en nytændt

og herlig dag sin morgenfriske salme.

Og svaiende i dagens sol en palme,

en gylden palme mot det sølvblaa hav.","Morgen, Et liv i dikt, Nils Collett Vogt, Alle dikt alfabetisk, Dikt skrevet på 1800-tallet",0,1800
Ung forelskelse,"we met on a dating-site

and it was epic.

but soon you where stuck on me, lika a paracite.

And I realized that I was in love.



The days we spent togheter on skype.

And we found out more and more.

all the things I would type.

Just to hear more from you.



We both fell in love.

and suddenly everything felt right.

the problem was, there was a big gap above.

you, in oslo. Me, in Stavanger.","Alle dikt alfabetisk, Dikt skrevet på 2000-tallet, Kjærlighet",1,2000
Dagen i dag!,"Dagen i dag er en merkelig dag.

Den er din.



Dagen i går slapp deg ut av hendene.

Den kan ikke få annet innhold enn du alt har gitt den.



Dagen i morgen har du ikke noe løfte på.

du vet ikke om du kan regne med å råde over den.



Men dagen i dag er det eneste du kan være sikker på.

Den kan du fylle med hva du vil.

Benytt deg av det.



I dag skal du glede et annet menneske

I dag kan du hjelpe en annen.

I dag kan du leve slik at du i kveld er glad for at du er til.



Dagen i dag er en betydningsfull dag.

Den Er Din.","Konfirmasjon, Georg Brandes, Alle dikt alfabetisk, Dikt skrevet på 1800-tallet",0,1800
Min vivs hjemkomst,"Gudskelov, min hulde Hustru!

Gudskelov du engang kommer!

O, Velsignede, velkommen!

O velkommen tusind Gange,

var dit Fravær ei slig Sorg!

O med tusind Kys velkommen,

da dit Fravær er slig Sorg!

O velkommen hjem igjen,

til mit Hjerte hjem igjen,

inden disse Armes Grændser,

hvor, min Viv, din Verden ender!

      O velkommen hjem igjen!



Jeg har længtes, til jeg blegned,

til mit karske Hjerte sygned,

aabnet Favnen, fanget Luften,

til min stærke Arm nedsegned.

Du maa troe det -- ja ved alle

denne Midnats vaagne Aander! --

skjøndt imorgen ved dit Hjerte,

Elskte, du min Kind vil finde

blussende af Glædens Sundhed.



O velkommen, hulde Hustru!

skjønne Text for mine Sange!

søde Smag for mine Læber!

bløde Marmor for mit Favntag!

ædle Billed for min Aands

dybe, jublende Tilbeden!

O velkommen hjem igjen!



Ak, hvad kan min Styrke tvinge,

saa jeg ikke op kan springe?

Ak, hvad binder mine Arme,

at jeg ei dig kan omfavne?

Ak, hvad kan mit Øie blinde,

saa det ei sit Syn kan finde?



Har da hist fra Dødninghaven

stakkels ugift Qvindes Geist,

svøbt i Hyldens Duft paa Graven,

sig i Sommernatten reist?

er ind af mit aabne Vindu

opad lette Ranke stegen,

for med Trolddom mig at gjække,

min Henrykkelse at vække,

for med den Bedragnes Qval

sin at kunne vederqvæge?



""Det er mig, og ikke Hende,""

klang det, klang, som om man kunde

tænke Klang fra Engens Klokkes

og Konvallens spæde Munde,

Toner i en Liljes Stengel.

""Det er mig! Du bør mig kjende:

Jeg er din og hendes Engel,

Død forlængst og før jeg vidste,

at jeg var din første Elskov.

Jeg velsignet har din sidste,

aandet al min Ømhed ind

i din Elsktes Jomfrusind,

strøget ned med bløde Vinger

Ringen først paa hendes Finger.



Naar I ere glade sammen,

er det mig, som altid fylder

med den Tanke Eders Sjele,

at en Himmelsk Glæden deler.

Da for Alteret I knælte,

holdt jeg over eder Begge

svævende en himmelsk Krands

med en nærudsprungen Knop

for ethvert af eders Løfter.

Jeg for Herrens Throne lagde

knælende den som et Offer;

og der ikke een er visnet,

men den er endnu saa frisk

somom den var nylig dyppet

i en Evighedens Kilde.

Og nu er jeg kommen hid,

for din Hustrus rene Leje

at bestrøe med hvide Roser.

Thi maaskee jeg burde tie,

thi -- hun kommer end i Nat.""","Alle dikt alfabetisk, Dikt skrevet på 1800-tallet, Henrik Wergeland, Henrik Wergeland - Samlede Skrifter - 2. bind 1833-1841, Kjærlighet",1,1800
Effektivt,"Det er

veldig effektivt

å snakke noen ihjel



Det er enda mer

effektivt

å ignorere noen

til døde","Ulf Utstrand, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet, Korte dikt",0,2000
HErre GUD! dit dyre Navn og Ære,"Herre Gud! ditt dyre Navn og Ære

 Over Verden høyt i Savn må være,

 Og alle Siæle, og alle Træle

 Og hver Geselle de skal fortælle

                 Din Ære.

  

 Det er smukt og kaasteligt at høre,

 At mand GUD sin Læbers Pligt monn' giøre;

 De Dyb Afgrunder, de grønne Lunder

 Skal HErrens Vunder hver Tid og Stunder

                 Udføre.

  

 Om sig Folk anstille vil saa slemme,

 GUds Navn slet at tie still og glemme,

 Saa skal dog Stene og tørre Bene

 Ey være seene hands Navn det reene

                 At fremme.

  

 Ja før GUD sin Ære skal forlise,

 Før skal Hav og grommen Hval ham prise,

 Samt og Tanteyen, som løber Leyen,

 Steenbiid og Seyen og Torsk og Skreyen

                 Og Niise.

  

 GUD er GUD, om alle Land laa øde,

 GUD er GUD, om alle Mand var døde,

 Om Folk forsvimler, i Herrens Himler

 Utallig Vrimler, som slaer paa Cimler

                 Hin Søde.

 

 Skulle HErren fattis Bram og Svenne?

 See, ti tusind staar for ham og tienne,

 Ja tusind gange ti tusind mange,

 Hvis smukke Sange med Klang kand prange

                 Der henne.

  

 Men ô Mennisk tør du vel det meene?

 At GUds Navn skeer Ræt og Skel allene,

 For Præst og Bonde med blotte Munde

 Ham love kunde? ney, ingenlunde

                 Det eene.

  

 HErrens Navn hos os paa Jord kand ikke

 Helligis ikkun med Ord og Nikke;

 Ney; hvor du svæver og hvor du stræver

 See til du lever, som GUds Ord kræver

                 Til Prikke.

  

 Lad dit Lius for Folket smukt saa brende,

 At enhver din Dyyd og Tugt kand kiende,

 Leev ey begierlig, ey Folk besværlig,

 Leev from og ærlig mod hver Mand kiærlig

                 Til Ende.

 

 Had alt det GUD i sit Ord selv hader,

 At Vellysten dig paa Jord ey skader,

 Sky Synd og Lyder, som GUD forbyder,

 Elsk Tugt og Dyder, som dig bepryder

                 Og bader.

  

 Men vilt du paa Synders Vey henstige,

 Og fra Dyden blues ey at vige,

 Da dine Lemmer GUds Navn beskemmer,

 GUds Aand bortskremmer og ey forfremmer

                 GUds Rige.

  

 Men ô GUD! forhindre sligt at blive!

 Hvad som er u-gudeligt fordrive!

 At vi vor Tider mod Synden strider

 Naar Tiden lider, hos dig omsider

   At blive!","Kristendom, Petter Dass, Dikt skrevet på 1600-tallet, Tro, Alle dikt alfabetisk",0,0
Alle dør,"Noe som alltid vil være.

 Noe som virker fryktelig og ukjent.

 Men døden vil alltids være deg nære.

 Til da, får du nyte livet for all det er verdt.

 Du kan ikke gjøre noe med det.

 Det er og alltid vil bli en del av livet, ditt og alle sitt.

 Å dø.



 Men fortvil ikke, det er fortsatt lenge igjen.

 Selv må du bare forstå, min venn.

 Uansett hva du gjør.

 Alle dør.","Alle dikt alfabetisk, Døden, Snowder, Dikt skrevet på 2000-tallet",0,2000
Solen dreper,"den er der hele tiden og stirrer på deg. 

Solen skaper liv men den dreper deg også. 

Stirrer du på den svir det, forlater du den blir du kald. 

Solen vil drepe deg, bare vent å se.","Sol, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet",0,2000
Veien man går,"Slitsomt å føle,

Vet ikke hva jeg skal gjøre.

Finnes det en utvei,

Så skal ikke jeg nøle.



Jeg kjenner det så godt,

Det er ikke noe smått.

Jeg slutter ikke å lete,

Det er jo flott.



Jeg tror jeg vet hva

Det er jeg leter etter,

Men det forsvinner bare

Mellom mine hender.



Laget av Anja Helen","Exyphia, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet, Følelser",0,2000
Oktobernatt 2002,"Oktobernatten fanger, mine fingre slår og slår

tastaturet på min pc, er det samme som i går

men gjennom nattens timer er det kommet noen ord

som senere blir dikt og brev, her på mitt skrivebord.

Jeg tenker så det knaker, politikk det gjør meg sint

de kutter ned og sparer, Ja, nå flyr jeg snart i flint

den trygden som vi får, den dekker ei behov

til hus og mat og medisin, vår regning blir for stor

Den jobben som jeg hadde, har en annen overtatt

min arbeidsgiver syntes visst at jeg var litt for lat

Jeg manglet ikke armer og heller ikke ben

og ikke syns det utenpå den feilen som jeg led.

Et tilbud om å jobbe litt, det fikk jeg så av dem

frivillighet var yrket og det ville hjelpe dem

Min psyke er blitt tråkket på, i mange, mange år

og lenger ned vi tråkkes, nå når trygd vi snart ei får.

De gamle og de syke får ei heller det som trengs

og skolebarna oppbevares til de sendes hjem

En dag de har det moro, har en ansatt punget ut

for kommunen sitter slukøret og fattig som en stut.

Det er velferds – Norge anno året to tusen og to

da de gamle gjør i bleia si i stedet for på do

Kjære stortingsmenn og kvinner, la meg slippe dette liv

om jeg noen gang blir gammel, håper jeg å bli senil (dement).

Jeg takker for oppmerksomhet du viet disse ord

som gjennom natten seilte fra hodet, arm , til bord

Så håper jeg fornuften, tar tak og heiser seil

La morgendagen vise om det er den rette vei.

Jeg takker for meg. ADJØ…………..","Oktober, Natt, Marit Irene Jensen, Dikt skrevet på 2000-tallet, Alle dikt alfabetisk",0,2000
Mørketider,"Jeg ser mørketider i vente

var det for denne tiden jeg lengte

ser meg rundt, det fins ingen håp

det her er hva jeg kaller ilddåp



Tankene svirrer rundt, de er så grå

Som en stolt mann, må jeg fortsette å gå

Live består av lyse og mørketider 

Så når ting blir ille, vær stolt og husk dine gode sider.","Dikt, Håp, Sorg, Trist, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet",0,2000
